prompt,response
How do I place an order on ShopEase?,Simply browse the product you want and click 'Add to Cart'. Once you're done shopping go to your Cart and click 'Proceed to Checkout'. Enter your delivery address select a payment method and confirm your order. You'll receive an order confirmation SMS and email immediately.
Can I place an order without creating an account?,"Yes, you can checkout as a guest using just your email and phone number. However we recommend creating a free account so you can track your orders easily access your order history and save addresses for faster checkout next time."
How do I check my order status?,"Go to My Orders in your account dashboard. You'll see the current status of all your orders — Confirmed, Packed, Shipped, Out for Delivery, or Delivered. You can also click on any order to see detailed tracking with timestamps."
Can I change my delivery address after placing an order?,"You can change the delivery address only if the order has not been packed yet. Go to My Orders, select the order, and click 'Edit Address'. If the order is already packed or shipped, we are unable to change the address."
How do I cancel my order?,"Go to My Orders, select the order you want to cancel, and click 'Cancel Order'. You can cancel before the order is shipped. Once shipped, you'll need to refuse delivery or raise a return request after delivery. Refunds are processed within 5-7 business days."
What happens if I miss my delivery?,"Our delivery partner will attempt delivery up to 3 times. After 3 failed attempts the order will be returned to our warehouse and a full refund will be issued to your original payment method within 7-10 business days."
Can I schedule a delivery for a specific date and time?,"Yes, for select pin codes we offer scheduled delivery slots. During checkout you'll see an option to choose a preferred delivery date and time window. This is available for large appliances and furniture orders by default."
How long does standard delivery take?,"Standard delivery takes 3-7 business days depending on your location. Metro cities like Delhi Mumbai Bengaluru and Hyderabad typically receive orders in 2-3 days. Remote pin codes may take up to 7 days."
Do you offer same-day or express delivery?,"Yes, Same-Day Delivery is available for select products in major metro cities if you order before 12 PM. Express Delivery (next day) is available in 50+ cities. Look for the 'Express' or 'Same Day' badge on product pages."
How do I track my shipment?,"Once your order is shipped you will receive an SMS and email with a tracking link and AWB number. You can also go to My Orders and click 'Track' on any shipped order. We partner with BlueDart Delhivery Ekart and other leading courier partners."
My order shows delivered but I haven't received it. What do I do?,"Please check with your neighbours and building security first as sometimes packages are left with them. If still not found raise a 'Not Received' complaint in My Orders within 48 hours of the delivery update. Our team will investigate and resolve it within 3 business days."
What payment methods do you accept?,"We accept Credit Cards (Visa Mastercard Amex) Debit Cards Net Banking UPI (GPay PhonePe Paytm BHIM) ShopEase Wallet Cash on Delivery and EMI. We also accept Buy Now Pay Later via ZestMoney and LazyPay."
Is Cash on Delivery available?,"Yes, Cash on Delivery (COD) is available for most products under ₹50,000. COD may not be available for certain high-value electronics or in some pin codes. A nominal COD convenience fee of ₹29 is charged per order."
How do I pay using UPI?,"At checkout select UPI as your payment method and enter your UPI ID (e.g. yourname@gpay). You'll receive a payment request on your UPI app. Simply approve it and your order will be confirmed instantly. You can also scan the QR code shown on screen."
My payment failed but money was deducted. What happens now?,"If your payment failed but money was deducted from your account it will be automatically refunded within 5-7 business days. This is a common bank hold situation. If the refund doesn't arrive within 7 days please contact us with your transaction reference number."
Do you offer EMI options?,"Yes, No-Cost EMI is available on orders above ₹3,000 using HDFC ICICI SBI Axis and Kotak credit cards for 3 6 9 and 12 month tenures. Standard EMI with bank interest is available on all major credit cards. Select 'EMI' at checkout to see available options."
How do I use a coupon code?,"At checkout you'll see a field 'Apply Coupon Code'. Enter your code and click Apply. The discount will be deducted from your total. Only one coupon code can be applied per order. Make sure your cart meets the minimum order value for the coupon."
Why is my coupon code not working?,"Coupon codes may not work if: the order value is below the minimum required, the coupon has expired, the coupon is not valid for the products in your cart, or the coupon has already been used. Check the coupon terms or contact support for clarification."
Can I use multiple coupons on one order?,No. Only one coupon code can be applied per order. However you can combine a coupon with ShopEase Wallet cashback and bank-specific EMI offers simultaneously.
What is ShopEase Wallet and how do I use it?,"ShopEase Wallet is your in-app wallet where cashback rewards and refunds are credited. You can use Wallet balance for up to 100% of your order value at checkout. To top up your Wallet go to Account > ShopEase Wallet > Add Money."
How do I return a product?,"Go to My Orders select the delivered order and click 'Return'. Choose the item(s) you want to return select a reason and schedule a pickup. Our pickup agent will collect the item within 3-5 business days. Refund is initiated after quality check."
What is your return policy?,"Most products have a 7-day return window from the date of delivery. Electronics have a 10-day return window. Fashion and lifestyle products have a 30-day return window. Some categories like innerwear perishables and customised products are non-returnable."
What items are not eligible for return?,"The following items cannot be returned: innerwear and swimwear, perishable goods, customised or personalised products, digital downloads, items damaged due to misuse, and products missing original packaging or accessories."
How long does a refund take?,"Refunds are processed within 2 business days of the returned item passing quality check. After initiation it takes 3-5 business days for credit/debit card and net banking refunds and 1-2 business days for ShopEase Wallet and UPI refunds."
Will I get a full refund if I return my order?,"Yes, you will receive a full refund of the product price. Delivery charges are refunded only if the return is due to a defective product or wrong item delivered. COD convenience fees are non-refundable."
What if I received a damaged or defective product?,"We're sorry about that. Go to My Orders select the order and click 'Report Issue'. Choose 'Damaged' or 'Defective' and upload photos. We will arrange a replacement or full refund with free reverse pickup within 24 hours of your report."
What if I received the wrong product?,"Please go to My Orders and click 'Report Issue' on the order. Select 'Wrong Item Delivered' and upload a photo of what you received. We'll arrange a pickup and deliver the correct item or issue a full refund within 3-5 business days."
Can I exchange a product instead of returning it?,"Yes, exchange is available for fashion and footwear categories. Go to My Orders click 'Exchange' and select the new size or colour. Exchange is subject to availability. If the exact item is unavailable you'll receive a full refund."
How do I create a ShopEase account?,"Download the ShopEase app or visit our website. Click 'Sign Up' and enter your mobile number. You'll receive an OTP to verify. After verification fill in your name and email to complete registration. It's free and takes less than a minute."
How do I reset my password?,"On the login page click 'Forgot Password'. Enter your registered email or mobile number and click Submit. You'll receive an OTP or reset link. Follow the instructions to set a new password. For security change your password every 6 months."
How do I update my phone number or email on my account?,"Go to Account > Profile Settings. Click 'Edit' next to your phone number or email. Enter the new detail and verify via OTP. For security you cannot change your phone number more than once every 30 days."
